id,item_id,qty_in,qty_out,received_at,created_at,updated_at
,10000001,0.00,0,,,
,10000002,0.00,,,,
,10000003,0.00,,,,
,10000004,0.00,,,,
,10000005,0.00,,,,
,10000006,0.00,,,,
,10000007,0.00,,,,
,10000008,2.00,,,,
,10000009,0.00,,,,
,10000010,0.00,,,,
,10000011,10.00,,,,
,10000012,0.00,,,,
,10000013,0.00,,,,
,10000014,0.00,,,,
,10000015,0.00,,,,
,10000016,538.00,,,,
,10000017,0.00,,,,
,10000018,"2,000.00",,,,
,10000019,0.00,,,,
,10000020,288.00,,,,
,10000021,0.00,,,,
,10000022,12.00,,,,
,10000023,0.00,,,,
,10000024,19.00,,,,
,10000025,0.00,,,,
,10000026,0.00,,,,
,10000027,0.00,,,,
,10000028,0.00,,,,
,10000029,0.00,,,,
,10000030,0.00,,,,
,10000031,0.00,,,,
,10000032,0.00,,,,
,10000033,0.00,,,,
,10000034,0.00,,,,
,10000035,0.00,,,,
,10000036,0.00,,,,
,10000037,0.00,,,,
,10000038,0.00,,,,
,10000039,0.00,,,,
,10000040,99.00,,,,
,10000041,0.00,,,,
,10000042,"1,650.00",,,,
,10000043,0.00,,,,
,10000044,0.00,,,,
,10000045,0.00,,,,
,10000046,0.00,,,,
,10000047,0.00,,,,
,10000048,0.00,,,,
,10000049,0.00,,,,
,10000050,0.00,,,,
,10000051,0.00,,,,
,10000052,0.00,,,,
,10000053,0.00,,,,
,10000054,0.00,,,,
,10000055,0.00,,,,
,10000056,0.00,,,,
,10000057,0.00,,,,
,10000058,85.00,,,,
,10000059,0.00,,,,
,10000060,0.00,,,,
,10000061,0.00,,,,
,10000062,0.00,,,,
,10000063,0.00,,,,
,10000064,164.00,,,,
,10000065,108.00,,,,
,10000066,17.00,,,,
,10000067,0.00,,,,
,10000068,86.00,,,,
,10000069,0.00,,,,
,10000070,0.00,,,,
,10000071,0.00,,,,
,10000072,0.00,,,,
,10000073,0.00,,,,
,10000074,0.00,,,,
,10000075,0.00,,,,
,10000076,0.00,,,,
,10000077,68.00,,,,
,10000078,156.00,,,,
,10000079,0.00,,,,
,10000080,20.00,,,,
,10000081,0.00,,,,
,10000082,0.00,,,,
,10000083,0.00,,,,
,10000084,2.00,,,,
,10000085,0.00,,,,
,10000086,23.00,,,,
,10000087,0.00,,,,
,10000088,0.00,,,,
,10000089,4.00,,,,
,10000090,0.00,,,,
,10000091,76.00,,,,
,10000092,1.00,,,,
,10000093,630.00,,,,
,10000094,0.00,,,,
,10000095,129.00,,,,
,10000096,0.00,,,,
,10000097,286.00,,,,
,10000098,530.00,,,,
,10000099,0.00,,,,
,10000100,0.00,,,,
,10000101,0.00,,,,
,10000102,4.00,,,,
,10000103,3.00,,,,
,10000104,0.00,,,,
,10000105,1.00,,,,
,10000106,0.00,,,,
,10000107,69.00,,,,
,10000108,28.00,,,,
,10000109,0.00,,,,
,10000110,31.00,,,,
,10000111,0.00,,,,
,10000112,0.00,,,,
,10000113,56.00,,,,
,10000114,0.00,,,,
,10000115,111.00,,,,
,10000116,151.00,,,,
,10000117,0.00,,,,
,10000118,22.00,,,,
,10000119,41.00,,,,
,10000120,0.00,,,,
,10000121,0.00,,,,
,10000122,5.00,,,,
,10000123,0.00,,,,
,10000124,0.00,,,,
,10000125,0.00,,,,
,10000126,0.00,,,,
,10000127,0.00,,,,
,10000128,0.00,,,,
,10000129,0.00,,,,
,10000130,143.00,,,,
,10000131,0.00,,,,
,10000132,70.00,,,,
,10000133,44.00,,,,
,10000134,0.00,,,,
,10000135,7.00,,,,
,10000136,0.00,,,,
,10000137,0.00,,,,
,10000138,0.00,,,,
,10000139,20.00,,,,
,10000140,10.00,,,,
,10000141,0.00,,,,
,10000142,0.00,,,,
,10000143,0.00,,,,
,10000144,0.00,,,,
,10000145,0.00,,,,
,10000146,"93,600.00",,,,
,10000147,0.00,,,,
,10000148,"5,940.00",,,,
,10000149,"667,000.00",,,,
,10000150,0.00,,,,
,10000151,0.00,,,,
,10000152,0.00,,,,
,10000153,"14,036.00",,,,
,10000154,400.00,,,,
,10000155,"98,217.00",,,,
,10000156,0.00,,,,
,10000157,2.00,,,,
,10000158,1.00,,,,
,10000159,"2,400.00",,,,
,10000160,0.00,,,,
,10000161,0.00,,,,
,10000162,400.00,,,,
,10000163,3.00,,,,
,10000164,0.00,,,,
,10000165,"1,653.00",,,,
,10000166,0.00,,,,
,10000167,15.00,,,,
,10000168,0.00,,,,
,10000169,0.00,,,,
,10000170,0.00,,,,
,10000171,0.00,,,,
,10000172,28.00,,,,
,10000173,0.00,,,,
,10000174,0.00,,,,
,10000175,0.00,,,,
,10000176,0.00,,,,
,10000177,472.00,,,,
,10000178,552.00,,,,
,10000179,0.00,,,,
,10000180,0.00,,,,
,10000181,0.00,,,,
,10000182,0.00,,,,
,10000183,0.00,,,,
,10000184,0.00,,,,
,10000185,0.00,,,,
,10000186,96.00,,,,
,10000187,0.00,,,,
,10000188,23.00,,,,
,10000189,0.00,,,,
,10000190,0.00,,,,
,10000191,0.00,,,,
,10000192,4.00,,,,
,10000193,29.00,,,,
,10000194,3.00,,,,
,10000195,15.00,,,,
,10000196,0.00,,,,
,10000197,0.00,,,,
,10000198,0.00,,,,
,10000199,0.00,,,,
,10000200,0.00,,,,
,10000201,0.00,,,,
,10000202,0.00,,,,
,10000203,0.00,,,,
,10000204,0.00,,,,
,10000205,0.00,,,,
,10000206,0.00,,,,
,10000207,0.00,,,,
,10000208,0.00,,,,
,10000209,0.00,,,,
,10000210,0.00,,,,
,10000211,0.00,,,,
,10000212,0.00,,,,
,10000213,0.00,,,,
,10000214,0.00,,,,
,10000215,0.00,,,,
,10000216,0.00,,,,
,10000217,0.00,,,,
,10000218,0.00,,,,
,10000219,0.00,,,,
,10000220,0.00,,,,
,10000221,0.00,,,,
,10000222,0.00,,,,
,10000223,3.00,,,,
,10000224,0.00,,,,
,10000225,0.00,,,,
,10000226,0.00,,,,
,10000227,0.00,,,,
,10000228,0.00,,,,
,10000229,0.00,,,,
,10000230,0.00,,,,
,10000231,0.00,,,,
,10000232,0.00,,,,
,10000233,0.00,,,,
,10000234,5.00,,,,
,10000235,3.00,,,,
,10000236,8.00,,,,
,10000237,1.00,,,,
,10000238,0.00,,,,
,10000239,0.00,,,,
,10000240,0.00,,,,
,10000241,0.00,,,,
,10000242,0.00,,,,
,10000243,0.00,,,,
,10000244,2.00,,,,
,10000245,0.00,,,,
,10000246,0.00,,,,
,10000247,0.00,,,,
,10000248,0.00,,,,
,10000249,0.00,,,,
,10000250,0.00,,,,
,10000251,0.00,,,,
,10000252,0.00,,,,
,10000253,0.00,,,,
,10000254,0.00,,,,
,10000255,0.00,,,,
,10000256,"3,369.00",,,,
,10000257,0.00,,,,
,10000258,0.00,,,,
,10000259,1.00,,,,
,10000260,0.00,,,,
,10000261,268.00,,,,
,10000262,500.00,,,,
,10000263,229.00,,,,
,10000264,432.00,,,,
,10000265,282.00,,,,
,10000266,432.00,,,,
,10000267,432.00,,,,
,10000268,2.00,,,,
,10000269,0.00,,,,
,10000270,"47,377.00",,,,
,10000271,"3,427.00",,,,
,10000272,900.00,,,,
,10000273,0.00,,,,
,10000274,287.00,,,,
,10000275,0.00,,,,
,10000276,"2,752.00",,,,
,10000277,50.00,,,,
,10000278,254.00,,,,
,10000279,10.00,,,,
,10000280,1.00,,,,
,10000281,0.00,,,,
,10000282,38.00,,,,
,10000283,12.00,,,,
,10000284,1.00,,,,
,10000285,0.00,,,,
,10000286,0.00,,,,
,10000287,0.00,,,,
,10000288,8.00,,,,
,10000289,0.00,,,,
,10000290,0.00,,,,
,10000291,0.00,,,,
,10000292,169.00,,,,
,10000293,3.00,,,,
,10000294,0.00,,,,
,10000295,129.00,,,,
,10000296,92.00,,,,
,10000297,1.00,,,,
,10000298,0.00,,,,
,10000299,0.00,,,,
,10000300,0.00,,,,
,10000301,0.00,,,,
,10000302,0.00,,,,
,10000303,0.00,,,,
,10000304,0.00,,,,
,10000305,0.00,,,,
,10000306,0.00,,,,
,10000307,0.00,,,,
,10000308,0.00,,,,
,10000309,0.00,,,,
,10000310,0.00,,,,
,10000311,0.00,,,,
,10000312,0.00,,,,
,10000313,0.00,,,,
,10000314,0.00,,,,
,10000315,0.00,,,,
,10000316,0.00,,,,
,10000317,0.00,,,,
,10000318,0.00,,,,
,10000319,0.00,,,,
,10000320,7.00,,,,
,10000321,0.00,,,,
,10000322,0.00,,,,
,10000323,0.00,,,,
,10000324,0.00,,,,
,10000325,0.00,,,,
,10000326,0.00,,,,
,10000327,1.00,,,,
,10000328,1.00,,,,
,10000329,0.00,,,,
,10000330,0.00,,,,
,10000331,0.00,,,,
,10000332,0.00,,,,
,10000333,0.00,,,,
,10000334,25.00,,,,
,10000335,28.00,,,,
,10000336,1.00,,,,
,10000337,1.00,,,,
,10000338,0.00,,,,
,10000339,200.00,,,,
,10000340,0.00,,,,
,10000341,0.00,,,,
,10000342,2.00,,,,
,10000343,10.00,,,,
,10000344,0.00,,,,
,10000345,0.00,,,,
,10000346,1.00,,,,
,10000347,"1,610.00",,,,
,10000348,"27,651.00",,,,
,10000349,7.00,,,,
,10000350,20.00,,,,
,10000351,23.00,,,,
,10000352,6.00,,,,
,10000353,0.00,,,,
,10000354,0.00,,,,
,10000355,14.00,,,,
,10000356,"2,900.00",,,,
,10000357,"1,800.00",,,,
,10000358,"1,900.00",,,,
,10000359,"2,200.00",,,,
,10000360,800.00,,,,
,10000361,0.00,,,,
,10000362,"17,600.00",,,,
,10000363,0.00,,,,
,10000364,0.00,,,,
,10000365,0.00,,,,
,10000366,4.00,,,,
,10000367,0.00,,,,
,10000368,0.00,,,,
,10000369,1.00,,,,
,10000370,0.00,,,,
,10000371,0.00,,,,
,10000372,0.00,,,,
,10000373,1.00,,,,
,10000374,0.00,,,,
,10000375,0.00,,,,
,10000376,0.00,,,,
,10000377,0.00,,,,
,10000378,0.00,,,,
,10000379,0.00,,,,
,10000380,0.00,,,,
,10000381,0.00,,,,
,10000382,0.00,,,,
,10000383,0.00,,,,
,10000384,0.00,,,,
,10000385,0.00,,,,
,10000386,0.00,,,,
,10000387,22.00,,,,
,10000388,0.00,,,,
,10000389,0.00,,,,
,10000390,0.00,,,,
,10000391,0.00,,,,
,10000392,0.00,,,,
,10000393,3.00,,,,
,10000394,0.00,,,,
,10000395,"5,660.00",,,,
,10000396,850.00,,,,
,10000397,799.00,,,,
,10000398,"1,594.00",,,,
,10000399,0.00,,,,
,10000400,"2,500.00",,,,
,10000401,190.00,,,,
,10000402,0.00,,,,
,10000403,0.00,,,,
,10000404,0.00,,,,
,10000405,0.00,,,,
,10000406,0.00,,,,
,10000407,0.00,,,,
,10000408,0.00,,,,
,10000409,0.00,,,,
,10000410,9.00,,,,
,10000411,120.00,,,,
,10000412,9.00,,,,
,10000413,10.00,,,,
,10000414,3.00,,,,
,10000415,5.00,,,,
,10000416,9.00,,,,
,10000417,9.00,,,,
,10000418,4.00,,,,
,10000419,4.00,,,,
,10000420,0.00,,,,
,10000421,0.00,,,,
,10000422,0.00,,,,
,10000423,0.00,,,,
,10000424,0.00,,,,
,10000425,0.00,,,,
,10000426,0.00,,,,
,10000427,0.00,,,,
,10000428,0.00,,,,
,10000429,0.00,,,,
,10000430,0.00,,,,
,10000431,0.00,,,,
,10000432,1.00,,,,
,10000433,0.00,,,,
,10000434,0.00,,,,
,10000435,0.00,,,,
,10000436,0.00,,,,
,10000437,0.00,,,,
,10000438,1.00,,,,
,10000439,0.00,,,,
,10000440,0.00,,,,
,10000441,0.00,,,,
,10000442,0.00,,,,
,10000443,0.00,,,,
,10000444,0.00,,,,
,10000445,0.00,,,,
,10000446,0.00,,,,
,10000447,0.00,,,,
,10000448,0.00,,,,
,10000449,0.00,,,,
,10000450,0.00,,,,
,10000451,0.00,,,,
,10000452,0.00,,,,
,10000453,0.00,,,,
,10000454,0.00,,,,
,10000455,1.00,,,,
,10000456,0.00,,,,
,10000457,2.00,,,,
,10000458,0.00,,,,
,10000459,0.00,,,,
,10000460,0.00,,,,
,10000461,0.00,,,,
,10000462,0.00,,,,
,10000463,0.00,,,,
,10000464,0.00,,,,
,10000465,0.00,,,,
,10000466,0.00,,,,
,10000467,"6,151.00",,,,
,10000468,0.00,,,,
,10000469,0.00,,,,
,10000470,0.00,,,,
,10000471,0.00,,,,
,10000472,0.00,,,,
,10000473,0.00,,,,
,10000474,0.00,,,,
,10000475,0.00,,,,
,10000476,0.00,,,,
,10000477,0.00,,,,
,10000478,0.00,,,,
,10000479,0.00,,,,
,10000480,0.00,,,,
,10000481,57.00,,,,
,10000482,35.00,,,,
,10000483,0.00,,,,
,10000484,0.00,,,,
,10000485,0.00,,,,
,10000486,0.00,,,,
,10000487,2.00,,,,
,10000488,1.00,,,,
,10000489,"1,603.00",,,,
,10000490,0.00,,,,
,10000491,"39,925.00",,,,
,10000492,"23,675.00",,,,
,10000493,200.00,,,,
,10000494,0.00,,,,
,10000495,0.00,,,,
,10000496,0.00,,,,
,10000497,0.00,,,,
,10000498,371.00,,,,
,10000499,189.00,,,,
,10000500,98.00,,,,
,10000501,0.00,,,,
,10000502,0.00,,,,
,10000503,2.00,,,,
,10000504,"1,540.00",,,,
,10000505,5.00,,,,
,10000506,0.00,,,,
,10000507,0.00,,,,
,10000508,0.00,,,,
,10000509,0.00,,,,
,10000510,0.00,,,,
,10000511,5.00,,,,
,10000512,0.00,,,,
,10000513,0.00,,,,
,10000514,0.00,,,,
,10000515,1.00,,,,
,10000516,1.00,,,,
,10000517,19.00,,,,
,10000518,4.00,,,,
,10000519,0.00,,,,
,10000520,0.00,,,,
,10000521,27.00,,,,
,10000522,0.00,,,,
,10000523,4.00,,,,
,10000524,0.00,,,,
,10000525,13.00,,,,
,10000526,0.00,,,,
,10000527,0.00,,,,
,10000528,36.00,,,,
,10000529,14.00,,,,
,10000530,12.00,,,,
,10000531,0.00,,,,
,10000532,0.00,,,,
,10000533,5.00,,,,
,10000534,0.00,,,,
,10000535,10.00,,,,
,10000536,3.00,,,,
,10000537,3.00,,,,
,10000538,14.00,,,,
,10000539,47.00,,,,
,10000540,41.00,,,,
,10000541,0.00,,,,
,10000542,409.00,,,,
,10000543,140.00,,,,
,10000544,490.00,,,,
,10000545,14.00,,,,
,10000546,4.00,,,,
,10000547,0.00,,,,
,10000548,87.00,,,,
,10000549,112.00,,,,
,10000550,-1.00,,,,
,10000551,82.00,,,,
,10000552,8.00,,,,
,10000553,20.00,,,,
,10000554,17.00,,,,
,10000555,206.00,,,,
,10000556,0.00,,,,
,10000557,184.00,,,,
,10000558,0.00,,,,
,10000559,0.00,,,,
,10000560,30.00,,,,
,10000561,559.00,,,,
,10000562,0.00,,,,
,10000563,19.00,,,,
,10000564,14.00,,,,
,10000565,0.00,,,,
,10000566,0.00,,,,
,10000567,10.00,,,,
,10000568,18.00,,,,
,10000569,68.00,,,,
,10000570,0.00,,,,
,10000571,0.00,,,,
,10000572,274.00,,,,
,10000573,378.00,,,,
,10000574,198.00,,,,
,10000575,193.00,,,,
,10000576,"18,357.00",,,,
,10000577,100.00,,,,
,10000578,3.00,,,,
,10000579,92.00,,,,
,10000580,54.00,,,,
,10000581,241.00,,,,
,10000582,118.00,,,,
,10000583,98.00,,,,
,10000584,80.00,,,,
,10000585,26.00,,,,
,10000586,50.00,,,,
,10000587,140.00,,,,
,10000588,0.00,,,,
,10000589,50.00,,,,
,10000590,0.00,,,,
,10000591,97.00,,,,
,10000592,100.00,,,,
,10000593,80.00,,,,
,10000594,50.00,,,,
,10000595,50.00,,,,
,10000596,50.00,,,,
,10000597,50.00,,,,
,10000598,122.00,,,,
,10000599,50.00,,,,
,10000600,39.00,,,,
,10000601,4.00,,,,
,10000602,508.00,,,,
,10000603,0.00,,,,
,10000604,0.00,,,,
,10000605,0.00,,,,
,10000606,"21,249.00",,,,
,10000607,0.00,,,,
,10000608,920.00,,,,
,10000609,31.00,,,,
,10000610,0.00,,,,
,10000611,0.00,,,,
,10000612,0.00,,,,
,10000613,600.00,,,,
,10000614,159.00,,,,
,10000615,"4,768.00",,,,
,10000616,0.00,,,,
,10000617,0.00,,,,
,10000618,0.00,,,,
,10000619,0.00,,,,
,10000620,0.00,,,,
,10000621,0.00,,,,
,10000622,0.00,,,,
,10000623,"1,020.00",,,,
,10000624,682.00,,,,
,10000625,0.00,,,,
,10000626,0.00,,,,
,10000627,0.00,,,,
,10000628,0.00,,,,
,10000629,0.00,,,,
,10000630,20.00,,,,
,10000631,0.00,,,,
,10000632,0.00,,,,
,10000633,0.00,,,,
,10000634,0.00,,,,
,10000635,0.00,,,,
,10000636,0.00,,,,
,10000637,0.00,,,,
,10000638,0.00,,,,
,10000639,0.00,,,,
,10000640,0.00,,,,
,10000641,0.00,,,,
,10000642,0.00,,,,
,10000643,0.00,,,,
,10000644,0.00,,,,
,10000645,0.00,,,,
,10000646,0.00,,,,
,10000647,0.00,,,,
,10000648,0.00,,,,
,10000649,0.00,,,,
,10000650,0.00,,,,
,10000651,0.00,,,,
,10000652,0.00,,,,
,10000653,0.00,,,,
,10000654,0.00,,,,
,10000655,0.00,,,,
,10000656,0.00,,,,
,10000657,15.00,,,,
,10000658,0.00,,,,
,10000659,0.00,,,,
,10000660,0.00,,,,
,10000661,0.00,,,,
,10000662,0.00,,,,
,10000663,0.00,,,,
,10000664,0.00,,,,
,10000665,0.00,,,,
,10000666,0.00,,,,
,10000667,21.00,,,,
,10000668,8.00,,,,
,10000669,0.00,,,,
,10000670,323.00,,,,
,10000671,305.00,,,,
,10000672,770.00,,,,
,10000673,764.00,,,,
,10000674,167.00,,,,
,10000675,173.00,,,,
,10000676,108.00,,,,
,10000677,108.00,,,,
,10000678,74.00,,,,
,10000679,74.00,,,,
,10000680,"1,006.00",,,,
,10000681,263.00,,,,
,10000682,106.00,,,,
,10000683,829.00,,,,
,10000684,69.00,,,,
,10000685,30.00,,,,
,10000686,0.00,,,,
,10000687,0.00,,,,
,10000688,5.00,,,,
,10000689,0.00,,,,
,10000690,0.00,,,,
,10000691,4.00,,,,
,10000692,30.00,,,,
,10000693,30.00,,,,
,10000694,0.00,,,,
,10000695,64.00,,,,
,10000696,6.00,,,,
,10000697,2.00,,,,
,10000698,1.00,,,,
,10000699,0.00,,,,
,10000700,0.00,,,,
,10000701,0.00,,,,
,10000702,0.00,,,,
,10000703,0.00,,,,
,10000704,0.00,,,,
,10000705,0.00,,,,
,10000706,0.00,,,,
,10000707,1.00,,,,
,10000708,0.00,,,,
,10000709,0.00,,,,
,10000710,0.00,,,,
,10000711,0.00,,,,
,10000712,24.00,,,,
,10000713,0.00,,,,
,10000714,0.00,,,,
,10000715,0.00,,,,
,10000716,"12,470.00",,,,
,10000717,0.00,,,,
,10000718,0.00,,,,
,10000719,0.00,,,,
,10000720,9.00,,,,
,10000721,0.00,,,,
,10000722,0.00,,,,
,10000723,0.00,,,,
,10000724,0.00,,,,
,10000725,0.00,,,,
,10000726,0.00,,,,
,10000727,0.00,,,,
,10000728,12.00,,,,
,10000729,0.00,,,,
,10000730,6.00,,,,
,10000731,0.00,,,,
,10000732,0.00,,,,
,10000733,0.00,,,,
,10000734,0.00,,,,
,10000735,0.00,,,,
,10000736,8.00,,,,
,10000737,7.00,,,,
,10000738,15.00,,,,
,10000739,14.00,,,,
,10000740,110.00,,,,
,10000741,349.00,,,,
,10000742,107.00,,,,
,10000743,437.00,,,,
,10000744,448.00,,,,
,10000745,2.00,,,,
,10000746,0.00,,,,
,10000747,0.00,,,,
,10000748,8.00,,,,
,10000749,2.00,,,,
,10000750,12.00,,,,
,10000751,0.00,,,,
,10000752,21.00,,,,
,10000753,7.00,,,,
,10000754,9.00,,,,
,10000755,10.00,,,,
,10000756,12.00,,,,
,10000757,10.00,,,,
,10000758,10.00,,,,
,10000759,20.00,,,,
,10000760,0.00,,,,
,10000761,22.00,,,,
,10000762,0.00,,,,
,10000763,20.00,,,,
,10000764,0.00,,,,
,10000765,190.00,,,,
,10000766,30.00,,,,
,10000767,0.00,,,,
,10000768,6.00,,,,
,10000769,4.00,,,,
,10000770,2.00,,,,
,10000771,2.00,,,,
,10000772,6.00,,,,
,10000773,0.00,,,,
,10000774,10.00,,,,
,10000775,2.00,,,,
,10000776,17.00,,,,
,10000777,0.00,,,,
,10000778,0.00,,,,
,10000779,0.00,,,,
,10000780,3.00,,,,
,10000781,0.00,,,,
,10000782,0.00,,,,
,10000783,0.00,,,,
,10000784,20.00,,,,
,10000785,0.00,,,,
,10000786,24.00,,,,
,10000787,1.00,,,,
,10000788,10.00,,,,
,10000789,49.00,,,,
,10000790,44.00,,,,
,10000791,2.00,,,,
,10000792,50.00,,,,
,10000793,0.00,,,,
,10000794,0.00,,,,
,10000795,0.00,,,,
,10000796,0.00,,,,
,10000797,0.00,,,,
,10000798,0.00,,,,
,10000799,0.00,,,,
,10000800,0.00,,,,
,10000801,0.00,,,,
,10000802,10.00,,,,
,10000803,0.00,,,,
,10000804,0.00,,,,
,10000805,0.00,,,,
,10000806,0.00,,,,
,10000807,0.00,,,,
,10000808,0.00,,,,
,10000809,0.00,,,,
,10000810,0.00,,,,
,10000811,2.00,,,,
,10000812,0.00,,,,
,10000813,0.00,,,,
,10000814,0.00,,,,
,10000815,"29,451.00",,,,
,10000816,215.00,,,,
,10000817,1.00,,,,
,10000818,1.00,,,,
,10000819,1.00,,,,
,10000820,1.00,,,,
,10000821,1.00,,,,
,10000822,0.00,,,,
,10000823,0.00,,,,
,10000824,0.00,,,,
,10000825,0.00,,,,
,10000826,0.00,,,,
,10000827,0.00,,,,
,10000828,0.00,,,,
,10000829,2.00,,,,
,10000830,1.00,,,,
,10000831,0.00,,,,
,10000832,1.00,,,,
,10000833,2.00,,,,
,10000834,1.00,,,,
,10000835,2.00,,,,
,10000836,0.00,,,,
,10000837,0.00,,,,
,10000838,0.00,,,,
,10000839,0.00,,,,
,10000840,0.00,,,,
,10000841,0.00,,,,
,10000842,0.00,,,,
,10000843,0.00,,,,
,10000844,0.00,,,,
,10000845,0.00,,,,
,10000846,0.00,,,,
,10000847,27.00,,,,
,10000848,21.00,,,,
,10000849,0.00,,,,
,10000850,0.00,,,,
,10000851,0.00,,,,
,10000852,0.00,,,,
,10000853,0.00,,,,
,10000854,0.00,,,,
,10000855,0.00,,,,
,10000856,0.00,,,,
,10000857,0.00,,,,
,10000858,0.00,,,,
,10000859,0.00,,,,
,10000860,0.00,,,,
,10000861,0.00,,,,
,10000862,0.00,,,,
,10000863,53.00,,,,
,10000864,0.00,,,,
,10000865,0.00,,,,
,10000866,0.00,,,,
,10000867,0.00,,,,
,10000868,68.00,,,,
,10000869,23.00,,,,
,10000870,20.00,,,,
,10000871,21.00,,,,
,10000872,0.00,,,,
,10000873,8.00,,,,
,10000874,15.00,,,,
,10000875,0.00,,,,
,10000876,0.00,,,,
,10000877,0.00,,,,
,10000878,0.00,,,,
,10000879,3.00,,,,
,10000880,0.00,,,,
,10000881,0.00,,,,
,10000882,71.00,,,,
,10000883,51.00,,,,
,10000884,0.00,,,,
,10000885,0.00,,,,
,10000886,9.00,,,,
,10000887,6.00,,,,
,10000888,0.00,,,,
,10000889,0.00,,,,
,10000890,9.00,,,,
,10000891,0.00,,,,
,10000892,0.00,,,,
,10000893,0.00,,,,
,10000894,0.00,,,,
,10000895,0.00,,,,
,10000896,0.00,,,,
,10000897,0.00,,,,
